,color,next_play,balance,bet_amount
2306,black,black,185700,20
2307,black,black,185720,10
2308,black,black,185730,10
2309,black,black,185740,10
2310,red,red,185730,20
2311,black,black,185710,40
2312,black,black,185750,10
2313,red,red,185740,20
2314,black,black,185720,40
2315,red,red,185680,80
2316,black,black,185600,160
2317,green,none,185440,320
2318,black,black,185440,320
2319,red,red,185120,640
2320,black,black,184480,1280
2321,green,none,183200,2560
2322,black,black,183200,2560
2323,red,red,180640,5120
2324,black,black,175520,10240
2325,red,red,165280,20480
2326,red,red,185760,10
2327,black,black,185750,20
2328,black,black,185770,10
2329,red,red,185760,20
2330,black,black,185740,40
2331,red,red,185700,80
2332,red,red,185780,10
2333,red,red,185790,10
2334,red,red,185800,10
2335,red,red,185810,10
2336,black,black,185800,20
2337,red,red,185780,40
2338,black,black,185740,80
2339,red,red,185660,160
2340,green,none,185500,320
2341,red,red,185500,320
2342,red,red,185820,10
2343,black,black,185810,20
2344,black,black,185830,10
2345,red,red,185820,20
2346,red,red,185840,10
2347,red,red,185850,10
2348,red,red,185860,10
2349,red,red,185870,10
2350,black,black,185860,20
2351,red,red,185840,40
2352,red,red,185880,10
2353,black,black,185870,20
2354,black,black,185890,10
2355,green,none,185880,20
2356,black,black,185880,20
2357,red,red,185860,40
2358,black,black,185820,80
2359,black,black,185900,10
2360,red,red,185890,20
2361,green,none,185870,40
2362,black,black,185870,40
2363,red,red,185830,80
2364,black,black,185750,160
2365,black,black,185910,10
2366,red,red,185900,20
2367,black,black,185880,40
2368,red,red,185840,80
2369,black,black,185760,160
2370,red,red,185600,320
2371,black,black,185280,640
2372,black,black,185920,10
2373,black,black,185930,10
2374,red,red,185920,20
2375,red,red,185940,10
2376,red,red,185950,10
2377,black,black,185940,20
2378,red,red,185920,40
2379,black,black,185880,80
2380,black,black,185960,10
2381,black,black,185970,10
2382,red,red,185960,20
2383,red,red,185980,10
2384,red,red,185990,10
2385,red,red,186000,10
2386,red,red,186010,10
2387,black,black,186000,20
2388,red,red,185980,40
2389,red,red,186020,10
2390,black,black,186010,20
2391,black,black,186030,10
2392,red,red,186020,20
2393,red,red,186040,10
2394,red,red,186050,10
2395,black,black,186040,20
2396,black,black,186060,10
2397,red,red,186050,20
2398,red,red,186070,10
2399,red,red,186080,10
2400,black,black,186070,20
2401,red,red,186050,40
2402,black,black,186010,80
2403,black,black,186090,10
2404,red,red,186080,20
2405,red,red,186100,10
2406,black,black,186090,20
2407,black,black,186110,10
